,id,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,cluster,hcluster
0,1,1,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,4,1
1,2,1,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,801,3,2
2,3,1,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,1349,3,2
3,4,1,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,1562,3,2
4,5,1,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,1600,4,2
5,6,1,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,1606,4,1
6,7,1,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,1510,4,1
7,8,1,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959,4,1
8,9,1,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,822,3,2
9,10,1,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,1321,3,2
10,11,1,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,1263,3,2
11,12,1,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162,4,2
12,13,1,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,1406,4,1
13,14,1,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421,4,1
14,15,1,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,1248,4,1
15,16,1,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204,3,2
16,17,1,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000,3,2
17,18,1,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,683,3,2
18,19,1,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,1650,4,2
19,20,1,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927,4,1
20,21,1,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543,4,1
21,22,1,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981,4,1
22,23,1,1,0,0,0,1,0.0965217,0.09883910000000001,0.436522,0.2466,986,3,2
23,24,1,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,1416,3,2
24,25,1,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985,3,2
25,26,1,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,506,4,2
26,27,1,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431,4,1
27,28,1,1,0,5,1,2,0.203478,0.22331700000000002,0.793043,0.1233,1167,4,1
28,29,1,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,1098,4,1
29,30,1,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096,3,2
30,31,1,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501,3,2
31,32,1,2,0,2,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,1360,3,1
32,33,1,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1526,4,2
33,34,1,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,1550,4,1
34,35,1,2,0,5,1,2,0.211304,0.22858699999999998,0.585217,0.127839,1708,4,1
35,36,1,2,0,6,0,2,0.23333299999999998,0.243058,0.929167,0.161079,1005,4,1
36,37,1,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,1623,3,2
37,38,1,2,0,1,1,1,0.271667,0.303658,0.738333,0.045408300000000006,1712,3,2
38,39,1,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,1530,3,2
39,40,1,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,1605,4,2
40,41,1,2,0,4,1,1,0.144348,0.14954800000000001,0.437391,0.221935,1538,4,1
41,42,1,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,1746,4,1
42,43,1,2,0,6,0,1,0.2225,0.232954,0.544167,0.20336700000000002,1472,4,1
43,44,1,2,0,0,0,1,0.31652199999999997,0.324113,0.457391,0.260883,1589,3,2
44,45,1,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,1913,3,2
45,46,1,2,0,2,1,1,0.26608699999999996,0.254274,0.314348,0.29137399999999997,1815,3,2
46,47,1,2,0,3,1,1,0.318261,0.3162,0.42347799999999997,0.251791,2115,4,2
47,48,1,2,0,4,1,1,0.43583299999999997,0.428658,0.505,0.230104,2475,4,1
48,49,1,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,2927,4,1
49,50,1,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,1635,4,1
50,51,1,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,1812,3,2
51,52,1,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,1107,3,2
52,53,1,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,1450,3,2
53,54,1,2,0,3,1,1,0.221739,0.24571700000000002,0.423043,0.094113,1917,4,2
54,55,1,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,1807,4,1
55,56,1,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,1461,4,1
56,57,1,2,0,6,0,1,0.2825,0.282192,0.537917,0.18657100000000001,1969,4,1
57,58,1,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,2402,3,2
58,59,1,2,0,1,1,2,0.407273,0.400118,0.8763639999999999,0.289686,1446,3,2
59,60,1,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,1851,3,2
60,61,1,3,0,3,1,1,0.335,0.320071,0.449583,0.30783299999999997,2134,4,1
61,62,1,3,0,4,1,1,0.19833299999999998,0.200133,0.318333,0.225754,1685,4,1
62,63,1,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,1944,4,1
63,64,1,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,2077,4,1
64,65,1,3,0,0,0,2,0.37652199999999997,0.366252,0.948261,0.343287,605,3,2
65,66,1,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,1872,3,2
66,67,1,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,2133,3,2
67,68,1,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,1891,4,1
68,69,1,3,0,4,1,3,0.38909099999999996,0.385668,0.0,0.26187699999999997,623,4,1
69,70,1,3,0,5,1,2,0.31652199999999997,0.305,0.649565,0.23296999999999998,1977,4,1
70,71,1,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,2132,4,1
71,72,1,3,0,0,0,1,0.384348,0.380091,0.5273909999999999,0.270604,2417,3,2
72,73,1,3,0,1,1,1,0.32521700000000003,0.332,0.496957,0.136926,2046,3,2
73,74,1,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,2056,3,1
74,75,1,3,0,3,1,2,0.365217,0.36693000000000003,0.776522,0.20311700000000002,2192,4,1
75,76,1,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,2744,4,1
76,77,1,3,0,5,1,1,0.54,0.5270090000000001,0.525217,0.231017,3239,4,1
77,78,1,3,0,6,0,1,0.4725,0.466525,0.37916700000000003,0.368167,3117,4,1
78,79,1,3,0,0,0,1,0.3325,0.32575,0.47375,0.20772100000000002,2471,3,2
79,80,2,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,2077,3,2
80,81,2,3,0,2,1,1,0.44166700000000003,0.44064200000000003,0.624583,0.22575,2703,3,2
81,82,2,3,0,3,1,2,0.346957,0.337939,0.839565,0.23426100000000002,2121,4,1
82,83,2,3,0,4,1,2,0.285,0.270833,0.805833,0.24378699999999998,1865,4,1
83,84,2,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,2210,4,6
84,85,2,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,2496,4,6
85,86,2,3,0,0,0,2,0.25304299999999996,0.250339,0.493913,0.1843,1693,3,2
86,87,2,3,0,1,1,1,0.264348,0.25757399999999997,0.302174,0.212204,2028,3,2
87,88,2,3,0,2,1,1,0.3025,0.292908,0.31416700000000003,0.226996,2425,3,2
88,89,2,3,0,3,1,2,0.3,0.29735,0.646667,0.17288800000000001,1536,4,1
89,90,2,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,1685,4,1
90,91,2,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,2227,4,6
91,92,2,4,0,6,0,2,0.315,0.315637,0.65375,0.19714600000000002,2252,4,6
92,93,2,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,3249,3,2
93,94,2,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,3115,3,2
94,95,2,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,1795,3,2
95,96,2,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,2808,4,2
96,97,2,4,0,4,1,1,0.4375,0.433696,0.602917,0.16231199999999998,3141,4,6
97,98,2,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,1471,4,6
98,99,2,4,0,6,0,2,0.3425,0.34152899999999997,0.8775,0.13308299999999998,2455,4,6
99,100,2,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,2895,3,2
100,101,2,4,0,1,1,2,0.5956520000000001,0.565217,0.716956,0.324474,3348,3,2
101,102,2,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,2034,3,2
102,103,2,4,0,3,1,2,0.4125,0.417283,0.819167,0.25061700000000003,2162,4,1
103,104,2,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,3267,4,6
104,105,2,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,3126,4,6
105,106,2,4,0,6,0,3,0.43083299999999997,0.425492,0.888333,0.340808,795,4,6
106,107,2,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,3744,3,2
107,108,2,4,0,1,1,1,0.5125,0.503146,0.5425,0.16356700000000002,3429,3,2
108,109,2,4,0,2,1,2,0.505833,0.48925799999999997,0.665833,0.157971,3204,3,2
109,110,2,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,3944,4,2
110,111,2,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,4189,4,6
111,112,2,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,1683,4,6
112,113,2,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,4036,4,6
113,114,2,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,4191,3,2
114,115,2,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,4073,3,2
115,116,2,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,4400,3,2
116,117,2,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,3872,4,1
117,118,2,4,0,4,1,2,0.6175,0.578929,0.700833,0.32090799999999997,4058,4,1
118,119,2,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,4595,4,6
119,120,2,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,5312,4,6
120,121,2,5,0,0,0,2,0.451667,0.448204,0.762083,0.10635399999999999,3351,2,2
121,122,2,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,4401,2,2
122,123,2,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,4451,2,2
123,124,2,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,2633,1,2
124,125,2,5,0,4,1,1,0.459167,0.441917,0.44416700000000003,0.295392,4433,1,6
125,126,2,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,4608,1,6
126,127,2,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,4714,1,6
127,128,2,5,0,0,0,1,0.5283329999999999,0.518933,0.631667,0.0746375,4333,2,2
128,129,2,5,0,1,1,1,0.5325,0.525246,0.58875,0.17600000000000002,4362,2,2
129,130,2,5,0,2,1,1,0.5325,0.522721,0.489167,0.11567100000000001,4803,2,2
130,131,2,5,0,3,1,1,0.5425,0.5284,0.632917,0.12064200000000001,4182,1,2
131,132,2,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,4864,1,6
132,133,2,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,4105,1,6
133,134,2,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,3409,1,6
134,135,2,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,4553,2,2
135,136,2,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,3958,2,2
136,137,2,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,4123,2,2
137,138,2,5,0,3,1,2,0.55,0.527158,0.87,0.201492,3855,1,2
138,139,2,5,0,4,1,2,0.530833,0.510742,0.829583,0.10821300000000002,4575,1,6
139,140,2,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,4917,1,6
140,141,2,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,5805,1,6
141,142,2,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,4660,2,2
142,143,2,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,4274,2,2
143,144,2,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,4492,2,2
144,145,2,5,0,3,1,1,0.660833,0.615542,0.69625,0.15423299999999998,4978,1,2
145,146,2,5,0,4,1,1,0.708333,0.654688,0.6775,0.19964200000000001,4677,1,6
146,147,2,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,4679,1,6
147,148,2,5,0,6,0,1,0.655833,0.612379,0.729583,0.23009200000000002,4758,1,6
148,149,2,5,0,0,0,1,0.6675,0.61555,0.81875,0.21393800000000002,4788,2,2
149,150,2,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,4098,2,2
150,151,2,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,3982,2,2
151,152,2,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,3974,1,6
152,153,2,6,0,4,1,1,0.715,0.643942,0.305,0.29228699999999996,4968,1,6
153,154,2,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,5312,1,6
154,155,2,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,5342,1,6
155,156,2,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,4906,2,2
156,157,2,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,4548,2,5
157,158,2,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,4833,2,5
158,159,2,6,0,3,1,1,0.775833,0.727279,0.6220829999999999,0.136817,4401,1,6
159,160,2,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,3915,1,6
160,161,2,6,0,5,1,1,0.755,0.703292,0.605,0.14055399999999998,4586,1,6
161,162,2,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,4966,1,6
162,163,2,6,0,0,0,1,0.6925,0.643325,0.747917,0.16356700000000002,4460,2,2
163,164,2,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,5020,2,5
164,165,2,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,4891,2,5
165,166,2,6,0,3,1,1,0.626667,0.587754,0.471667,0.16791199999999998,5180,1,6
166,167,2,6,0,4,1,2,0.628333,0.595346,0.688333,0.20647100000000002,3767,1,6
167,168,2,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,4844,1,6
168,169,2,6,0,6,0,1,0.696667,0.643954,0.670417,0.11940799999999999,5119,1,6
169,170,2,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,4744,2,2
170,171,2,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,4010,2,5
171,172,3,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,4835,2,5
172,173,3,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,4507,1,6
173,174,3,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,4790,1,6
174,175,3,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,4991,1,6
175,176,3,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,5202,1,6
176,177,3,6,0,0,0,1,0.68,0.637629,0.513333,0.09453330000000001,5305,2,2
177,178,3,6,0,1,1,2,0.6825,0.637004,0.658333,0.10758800000000002,4708,2,5
178,179,3,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,4648,2,5
179,180,3,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,5225,1,6
180,181,3,6,0,4,1,1,0.696667,0.637008,0.434167,0.18531199999999998,5515,1,6
